epoch,lr,train_loss,val_loss,acc,edit,f1s@0.1,f1s@0.25,f1s@0.5
0.0,0.0005,9.714818364097958,2.366985593523298,17.616650795810095,16.821965628356608,9.333330925333955,2.666664258668841,0.0
1.0,0.0005,8.789080665225075,2.310918399265834,21.997007209903416,22.264142499104906,14.999996875781902,3.749996875783853,1.2499968757890585
2.0,0.0005,7.684706824166434,2.150735003607614,21.235206094408923,29.638829215896884,16.184967305290073,8.092481756158014,2.31213493535321
3.0,0.0005,6.403796014331636,2.0022137675966536,23.534213032240512,19.87826709631221,19.780215652096018,12.087907959788877,1.0988969707919838
4.0,0.0005,5.091403983888172,1.7857707568577357,40.23942320772684,43.720698805838126,42.00912757865822,34.70319150559898,18.264835341216017
5.0,0.0005,4.002150546936762,1.3424781731196813,53.598149911576655,61.30720470006184,63.11474911482168,55.737699934493854,36.06556878695312
6.0,0.0005,3.1579456215813044,1.0851486325263977,64.671473268943,72.17597565341926,78.49056104122495,73.20754217330044,58.113202550659025
7.0,0.0005,2.4313547781535556,1.0119522639683314,68.14038906271256,74.79192636392702,79.38930797826498,76.3358728637612,54.96182706223458
8.0,0.0005,2.986290522984096,0.832532239811761,68.2628213848456,77.71645021645021,83.46456193037416,81.10235720596471,57.480309961870354
9.0,0.0005,2.124406093642825,0.8237600581986564,68.3444429329343,77.39964406815356,81.8532768533567,79.53667453675438,51.737446737526746
10.0,0.0005,1.7949208929425193,0.7620210988180978,72.95606039994559,78.33034968373315,83.46456193037416,80.31495563116155,59.05511311147664
11.0,0.0005,1.5657644328616915,0.7217597024781364,75.51353557339138,82.14945627373756,85.59999500512029,83.19999500512031,63.19999500512039
12.0,0.0005,1.4316223121824718,0.6231476068496704,76.57461569854442,80.9734156820623,87.09676920167823,85.4838659758718,67.74193049200089
13.0,0.0005,1.3437791835694086,0.8001056483813694,76.79227316011428,83.4359708795799,86.5306072589757,84.89795419775122,67.75509705489416
14.0,0.0005,1.265039778891064,0.6871812556471143,76.65623724663311,81.37456737080798,85.25895914731542,83.66533364930744,65.3386404222159
15.0,0.0005,1.251906448886508,0.7508098099912915,77.17317371786152,80.17558777897123,85.71428072836348,82.44897460591449,67.75509705489416
16.0,0.0005,1.2483972424552554,0.7420914130551475,76.79227316011428,81.40624670921,86.50793151077126,82.53967754251731,67.46031246315229
17.0,0.0005,1.1479510778472537,0.8626790004117149,77.52686709291252,83.70049774295683,88.25910432165774,85.82995452408692,68.01618934190074
18.0,0.0005,1.0709861062821888,0.8753299968583244,74.49326622228268,79.20445371130909,83.40080472651606,82.59108812732576,64.77732294513962
19.0,0.0005,1.0821954551197233,0.7794391598020282,77.02353421303224,84.47547440028643,87.84313225559428,84.70587735363353,66.66666166735908
20.0,0.0005,1.0321318251746041,0.7078493237495422,77.66290300639369,84.26787940056406,86.2745048046139,83.92156362814332,68.23528911833947
21.0,0.0005,1.0253508516720362,0.8770041806357247,75.86722894844239,79.43387881468378,82.98754689209927,81.32779585475488,70.53941411201632
22.0,0.0005,0.9629611174265543,0.8708517253398895,75.25506733777718,80.07071249552452,84.12697912981889,84.12697912981889,67.46031246315229
23.0,0.0005,0.8842231631278992,0.7437445095607212,78.0165963814447,85.09905716672634,86.61416822958672,84.2519635051773,69.29133358391752
24.0,0.0005,0.9265101268177941,0.8456767201423645,76.996327030336,84.17268661850706,86.15384115414231,83.07691807721923,70.76922576952698
25.0,0.0005,0.8587429722150167,0.8478660966668811,76.54740851584819,83.43417366946778,87.35631683974134,85.0574662650287,71.26436281675291
26.0,0.0005,0.8366219202677408,0.7247034098420825,78.54713644402122,85.1781765337714,88.88888389172364,87.30158230442206,74.6031696060094
27.0,0.0005,0.8374661405881246,1.0186304875782557,76.1393007754047,84.22770862731056,87.19999500512027,84.7999950051203,71.99999500512034
28.0,0.0005,0.8285896380742391,0.9642938758645739,74.1667800299279,83.13475629486244,85.93749500030545,83.59374500030547,70.31249500030553
29.0,0.0005,0.8773261478969029,0.8236262457711356,77.03713780438035,83.41269841269842,84.29118274012448,81.22604864050764,68.19922871713605
30.0,0.0005,0.838502049446106,0.7136972163404737,76.98272343898789,83.63512949039264,87.78625454315045,86.25953698589855,72.51907897063141
31.0,0.0005,0.7482967518624806,1.1088033829416548,75.90803972248673,86.25676586424042,88.53754440906776,86.95651674108358,72.72726772922591
32.0,0.0005,0.720349717707861,0.9060485873903547,78.13902870357775,86.33187240640657,86.46616041805672,84.96240101956046,75.18796492933495
33.0,0.0005,0.6917302693639483,1.0466952068465096,76.96911984763977,81.13629662391271,86.16600290709147,85.37548907309939,72.72726772922591
34.0,0.0005,0.6450479058992296,1.0372340551444463,78.16623588627398,86.4451713699834,89.32805824305984,87.74703057507566,75.88932306519428
35.0,0.0005,0.6230787067186265,1.0277012969766344,78.37028975649571,85.10655697685775,88.44621014333134,86.0557718963194,75.69720615926762
36.0,0.0005,0.613133518468766,1.0108778434140342,78.31587539110325,87.04717240431526,89.65516741445396,87.35631683974134,78.927198065795
37.0,0.0005,0.6191730385734922,1.0572058686188288,77.54047068426064,89.55382152861145,87.69230269260383,86.15384115414231,78.46153346183465
38.0,0.0005,0.6190169368471418,0.9812191341604505,76.7378587947218,87.3457691376946,88.63635863894656,86.3636313662193,75.75757076015873
39.0,0.0005,0.6081893585977101,1.0075926567826952,78.65596517480616,88.48239295718288,89.92247562015531,86.82170042635687,82.17053763565923
40.0,0.0005,0.6364944662366595,1.0061887332371302,77.07794857842471,86.41340746825047,88.79999500512028,86.39999500512029,79.19999500512031
41.0,0.0005,0.6499389580317906,0.9780194631644658,77.89416405931166,88.83953581432573,89.84374500030545,85.93749500030545,74.9999950003055
42.0,0.0005,0.5982066208407992,0.9517786204814911,78.76479390559108,88.84580147848614,87.93773819073746,86.38131795727443,80.15563702342232
43.0,0.0005,0.5899800814333416,1.0218230443341392,78.51992926132499,90.88499035978028,90.4942915797542,89.73383530598996,82.1292725683474
44.0,0.0005,0.5958752731482188,1.0505520786557878,76.50659774180383,87.28482241178624,87.96991981655293,85.7142807188086,77.44360402707929
45.0,0.0005,0.6215198423181262,1.2689778549330575,75.26867092912529,84.73168714125966,87.49999501324639,86.76470089559932,75.73528913089349
46.0,0.0005,0.6182405239059812,0.939898601600102,79.24091960277514,87.27358168147643,89.31297210040235,89.31297210040235,80.91602553551688
47.0,0.0005,0.5654818472408113,1.0589818273271834,78.26146102571079,87.52141765797228,89.84374500030545,89.06249500030545,80.46874500030549
48.0,0.0005,0.5673945588724953,0.8541643066065652,79.8938919874847,88.15285534503656,90.42145093935818,88.88888388954976,80.45976511560342
49.0,0.0005,0.5584131280581156,0.9632943783487592,77.81254251122296,88.21303641073655,87.35631683974134,86.59003331483711,77.39463101598658
