epoch,lr,train_loss,val_loss,acc,edit,f1s@0.1,f1s@0.25,f1s@0.5
0.0,0.0005,12.207943084185901,2.557889207406077,18.211951942232464,32.05339299364152,31.938829526931467,25.87997205434076,15.55106264868643
1.0,0.0005,8.952879922384392,2.3348663290984084,24.706000524550646,37.54684696285494,35.09105257960311,27.07256929610235,14.78662202782362
2.0,0.0005,7.339208304742242,2.2791387685176683,24.70968353971239,41.163173035119016,35.60992540798102,29.02957144670309,18.74331417149264
3.0,0.0005,6.342138773953197,1.7584056412547344,34.63596743321745,46.565170020321986,41.155142865371,33.71193358552577,20.87964745696162
4.0,0.0005,5.70640840411093,1.4724035799572155,44.03669622379339,49.96745737090819,44.58394420639571,37.370748736184076,24.39684425563292
5.0,0.0005,5.020111384430931,1.5638724362808893,40.93972689884543,50.022444256175625,44.04868207252336,37.02754177784057,24.522737165412938
6.0,0.0005,4.935569680603899,1.8463855279097656,44.06292375600582,46.82310239178943,41.68722917928972,34.64213158000779,23.244330368430766
7.0,0.0005,4.254432730324292,1.8947317109165787,43.92263436029933,52.707622253121265,50.020132179140795,43.2809725604001,30.95717070780264
8.0,0.0005,4.136669710196957,1.5850848610110702,48.09638339071768,56.42992091257717,51.20415504058287,43.51395252279423,30.15872537446387
9.0,0.0005,3.792801309647832,1.5640376853922222,53.55784844950642,55.46229170433166,52.69301729062577,46.13955483374072,31.44069571991765
10.0,0.0005,3.5720009552118275,1.4913917789042133,47.655760849548834,55.99879962840515,49.31013343856525,42.951405184216185,30.305934278397544
11.0,0.0005,3.264690873490543,2.142673476377618,48.74470566570499,42.59724603108399,44.380254068808526,37.699354910200036,24.563602053236888
12.0,0.0005,3.3061129306796198,1.5869997022522928,54.31933973582737,56.64433745745408,50.05961866064135,43.64416433199844,31.123296218476092
13.0,0.0005,3.329746326214639,2.0617000799256164,41.91059201678562,46.911264276817434,39.27555646518281,31.652096425170285,21.101396204048108
14.0,0.0005,3.022510632860931,1.5167593339643082,58.11228731982522,60.97673522238733,56.034809107136056,49.097653085121514,36.708046019973835
15.0,0.0005,3.099949352763611,1.4921331988608864,62.86527418931814,58.66497496849998,57.042978223881256,50.72500826013194,37.3899487054972
16.0,0.0005,2.625235466424891,1.4630311295200853,62.66404763366276,59.66692331289997,55.90277317538137,50.37201920712745,37.6488049214133
17.0,0.0005,2.5983023353625874,1.472608602177739,60.794973242336816,60.92291396323288,56.135865598868676,49.72544547372506,37.568632806122096
18.0,0.0005,2.7799792334006295,1.4299214769318251,64.37240863611252,63.667512588892755,59.84680823840333,54.7319179359238,41.749962853488526
19.0,0.0005,2.2596097704113416,1.7894353696659173,53.00160155356276,53.19551654209899,47.35977021463906,40.41304409401017,28.67870943078578
20.0,0.0005,2.2595668828422153,1.7545883198705337,52.2685699298553,45.99838900170934,42.60667775750387,36.40974314508802,24.920052991818885
21.0,0.0005,2.5473179625896294,2.0381454520667397,59.535493663539825,53.60019454627667,51.55759023655353,46.22071508562385,32.09369262728066
22.0,0.0005,2.0118379640430097,1.6167779756111995,64.36738634271015,63.686075401741775,60.71819696742102,55.01644258145615,41.91337240601768
23.0,0.0005,2.1092531417756457,1.6111662139036365,59.87388463234022,57.79978782666555,53.68738229714033,48.25587958138902,35.87205338947608
24.0,0.0005,2.1405256177131977,1.7546129332334837,56.10593690883422,58.71877901611363,51.4794277437139,46.13903803960041,34.56819368068788
25.0,0.0005,2.4399332416952357,1.6523230503943445,66.40308926847507,63.350398489404135,59.3456039613637,53.94091459853422,41.32997275193215
26.0,0.0005,1.67321548185095,1.7794535873892263,59.577792534639876,58.88227240770656,51.873951075104394,46.95630963323286,35.80806422860182
27.0,0.0005,2.0480441283769584,1.7611724987591661,63.8850229630415,61.193292997303004,58.067813633853284,52.719125214147624,40.17913801005306
28.0,0.0005,1.796474209747061,1.7850152676361537,59.839733037204034,58.6792986980898,53.33663029006065,47.988109799779636,35.73108367621907
29.0,0.0005,1.936479037212524,1.5561586966088545,62.30054519785046,60.824084676793866,53.826801075184925,48.26924927257388,36.10012722202905
30.0,0.0005,1.7132067342956518,1.6662619780774892,64.26236460734036,61.57910939187839,57.79735219604928,52.5110085837145,40.90622570139871
31.0,0.0005,1.6955856778968397,1.8375770221647159,62.96337632044464,63.92267990895219,58.232720733168684,53.14666884516461,40.58566190963945
32.0,0.0005,2.1871130064980324,1.5710691520922728,62.99931361990168,57.574531778047614,49.7266521350531,44.587793617668495,34.24447413374123
